run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind,mode
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-24 17:40:00,BUY,4641.281,4624.358,2026-08-24 23:30:41,4667.454,sl 4667.646,26.17,529.11,16.922999999999774,1.5464161200732938,350.68333333333334,4667.646,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-25 11:20:00,SELL,4643.968,4649.181,2026-08-25 12:48:06,4641.688,sl 4641.645,2.28,531.39,5.212999999999738,0.437368118166145,88.1,4641.645,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-25 23:50:00,BUY,4656.111,4651.745,2026-08-26 00:04:10,4651.742,sl 4651.745,-4.37,526.49,4.3659999999999854,-1.0009161704076992,14.166666666666666,4651.745,False,sl,swing_confirm_E1
cmpE1is_swing_2026-08-24__M15sig,2026-08-24,M15sig,2026-08-27 02:30:00,SELL,4633.179,4646.897,2026-08-27 06:21:38,4610.233,sl 4610.208,22.95,549.44,13.717999999999847,1.672984400058336,231.63333333333333,4610.208,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-31__M15sig,2026-08-31,M15sig,2026-09-02 11:45:00,SELL,4324.82,4336.305,2026-09-02 12:04:47,4335.857,sl 4335.663,-11.04,488.96,11.485000000000582,-0.961253809316451,19.78333333333333,4335.663,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-31__M15sig,2026-08-31,M15sig,2026-09-03 05:25:00,BUY,4425.752,4419.608,2026-09-03 06:11:42,4427.115,sl 4427.303,1.37,490.33,6.144000000000233,0.2229817708333249,46.7,4427.303,True,sl,swing_confirm_E1
cmpE1is_swing_2026-08-31__M15sig,2026-08-31,M15sig,2026-09-04 01:30:00,BUY,4471.181,4465.298,2026-09-04 01:47:34,4466.846,sl 4466.858,-4.33,486.0,5.882999999999811,-0.736019037905854,17.566666666666666,4466.858,True,sl,swing_confirm_E1
cmpE1is_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-07 08:05:00,SELL,4412.508,4420.515,2026-09-07 08:16:28,4420.518,sl 4420.515,-8.01,491.99,8.007000000000517,-1.000374672161794,11.466666666666669,4420.515,False,sl,swing_confirm_E1
cmpE1is_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-07 09:05:00,SELL,4412.402,4417.294,2026-09-07 12:10:35,4392.47,sl 4392.449,19.93,511.92,4.891999999999825,4.073998364677169,185.58333333333331,4392.449,True,sl,swing_confirm_E1
cmpE1is_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-08 05:35:00,BUY,4423.345,4414.099,2026-09-08 05:56:14,4417.323,sl 4417.361,-6.03,505.89,9.246000000000096,-0.6521739130434716,21.23333333333333,4417.361,True,sl,swing_confirm_E1
cmpE1is_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-09 06:05:00,SELL,4402.992,4407.649,2026-09-09 06:37:27,4405.418,sl 4405.317,-2.43,503.46,4.657000000000153,-0.5217951470903844,32.45,4405.317,True,sl,swing_confirm_E1
cmpE1is_swing_2026-09-07__M15sig,2026-09-07,M15sig,2026-09-09 15:10:00,BUY,4391.439,4376.106,2026-09-09 15:22:54,4375.88,sl 4376.106,-15.56,487.9,15.333000000000538,-1.0148046696666964,12.9,4376.106,False,sl,swing_confirm_E1
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 02:15:00,SELL,4184.28,4197.226,2026-06-22 02:38:16,4197.253,sl 4197.226,-12.97,487.03,12.945999999999913,-1.0018538544724307,23.266666666666666,4197.226,False,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 13:00:00,SELL,4193.515,4200.592,2026-06-22 13:43:32,4194.863,sl 4194.831,-1.34,485.69,7.076999999999316,-0.1893457679808011,43.53333333333333,4194.831,True,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-22 15:45:00,SELL,4181.141,4192.549,2026-06-22 16:51:08,4187.044,sl 4187.019,-5.9,479.79,11.408000000000357,-0.517180925666183,66.13333333333334,4187.019,True,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-23 01:30:00,SELL,4178.391,4185.331,2026-06-23 01:42:21,4157.52,,20.87,500.66,6.940000000000509,3.007204610950788,12.35,,False,other,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-23 18:45:00,SELL,4115.93,4123.711,2026-06-23 19:04:10,4123.911,sl 4123.711,-7.98,492.68,7.780999999999949,-1.0255751188793285,19.166666666666668,4123.711,False,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 02:15:00,SELL,4080.104,4093.101,2026-06-24 05:22:44,4072.756,sl 4072.680,7.34,500.02,12.997000000000298,0.5647457105485751,187.7333333333333,4072.68,True,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 09:45:00,SELL,4068.401,4077.069,2026-06-24 11:15:51,4041.823,,26.58,526.6,8.66800000000012,3.066451315182237,90.85,,False,other,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-24 17:45:00,SELL,3984.326,3997.762,2026-06-24 18:09:03,3979.732,sl 3979.727,4.6,531.2,13.43600000000015,0.342363798749624,24.05,3979.727,True,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-25 00:45:00,SELL,3985.54,3994.761,2026-06-25 00:52:40,3992.481,sl 3992.457,-6.94,524.26,9.221000000000004,-0.7526298666088275,7.666666666666667,3992.457,True,sl,breakout_closedbar_E2
cmpE2is_breakout_2026-06-22__M15sig,2026-06-22,M15sig,2026-06-25 14:00:00,SELL,4002.257,4014.398,2026-06-25 14:03:30,4014.472,sl 4014.398,-12.21,512.05,12.141000000000076,-1.0056832221398504,3.5,4014.398,False,sl,breakout_closedbar_E2
