run_id,week,signal_tf,entry_time,dir,entry_price,initial_sl,exit_time,exit_price,exit_comment,pnl,balance_after,risk_dollars,r_multiple,hold_minutes,final_sl_price,sl_moved,exit_kind
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-12 22:45:00,BUY,4400.286,4395.455,2026-08-12 23:59:33,4412.985,,12.7,108.25,4.831000000000131,2.628855309459668,74.55,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 00:30:00,BUY,4428.613,4422.902,2026-08-13 00:34:12,4445.751,,17.14,125.39,5.71100000000024,3.0012257047801225,4.2,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 00:45:00,BUY,4440.275,4433.155,2026-08-13 00:49:46,4433.113,sl 4433.155,-7.17,118.22,7.119999999999891,-1.0070224719101277,4.766666666666667,4433.155,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 01:15:00,BUY,4430.339,4421.552,2026-08-13 01:21:03,4422.061,sl 4422.061,-8.28,109.94,8.787000000000262,-0.9423011266643624,6.05,4422.061,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 01:30:00,BUY,4419.429,4409.639,2026-08-13 01:46:15,4415.249,sl 4415.302,-4.18,105.76,9.789999999999964,-0.426966292134833,16.25,4415.302,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 02:00:00,BUY,4408.699,4397.954,2026-08-13 04:00:28,4397.851,sl 4397.954,-10.85,94.91,10.74499999999989,-1.0097719869706943,120.46666666666667,4397.954,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 04:30:00,BUY,4398.221,4388.955,2026-08-13 05:32:12,4395.919,sl 4395.920,-2.3,92.61,9.265999999999622,-0.24821929635226567,62.2,4395.92,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 05:45:00,BUY,4387.934,4379.83,2026-08-13 06:04:10,4379.792,sl 4379.830,-8.14,84.47,8.10400000000027,-1.0044422507403419,19.166666666666668,4379.83,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 06:15:00,BUY,4376.102,4367.903,2026-08-13 08:00:19,4368.887,sl 4368.989,-7.21,77.26,8.198999999999614,-0.8793755336017001,105.31666666666666,4368.989,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 08:15:00,BUY,4366.186,4357.685,2026-08-13 10:18:40,4384.828,,18.64,95.9,8.500999999999294,2.192683213739742,123.66666666666667,,False,other
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 11:00:00,BUY,4392.369,4386.276,2026-08-13 11:33:33,4387.377,sl 4387.442,-4.99,90.91,6.092999999999847,-0.8189725914984614,33.55,4387.442,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 11:45:00,BUY,4384.063,4378.168,2026-08-13 12:30:25,4392.191,sl 4392.242,8.13,99.04,5.895000000000437,1.3791348600507887,45.416666666666664,4392.242,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 12:45:00,BUY,4392.115,4385.017,2026-08-13 13:12:26,4391.278,sl 4391.308,-0.84,98.2,7.097999999999956,-0.11834319526627292,27.433333333333334,4391.308,True,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 13:15:00,BUY,4394.002,4385.998,2026-08-13 13:25:46,4385.959,sl 4385.998,-8.04,90.16,8.004000000000815,-1.0044977511243354,10.766666666666667,4385.998,False,sl
wk_2026-08-10__M15sig,2026-08-10 (Mon-Fri),M15sig,2026-08-13 13:30:00,BUY,4385.475,4377.125,2026-08-13 13:34:19,4377.11,sl 4377.125,-8.37,81.79,8.350000000000364,-1.0023952095807946,4.316666666666666,4377.125,False,sl
